Timestep,Lambda,Reward
8.951561212539673,0.5933367013931274,0.54666835,86.52185
8.99307918548584,0.8978964686393738,0.6989482,87.2208
9.117558002471924,0.7819969654083252,0.6409985,87.8618
9.156340599060059,0.33174216747283936,0.41587108,88.27767
9.19430661201477,0.6210247278213501,0.56051236,88.83818
9.23951530456543,0.7032738327980042,0.60163695,89.43982
9.281100988388062,0.7168910503387451,0.6084455,90.04826
9.321123123168945,0.4690024256706238,0.48450118,90.53277
9.363015174865723,0.957145631313324,0.7285728,91.26134
9.406111717224121,0.7829763293266296,0.64148813,91.902824
9.446285486221313,0.2779158353805542,0.38895792,92.29178
9.481104850769043,0.5530229210853577,0.5265115,92.81829
9.610311508178711,0.43810075521469116,0.46905035,93.28734
9.656083106994629,0.8634437322616577,0.6817218,93.96906
9.69919753074646,0.6488286852836609,0.5744143,94.54348
9.741135597229004,0.8811308145523071,0.69056547,95.23405
9.790640592575073,0.6042879223823547,0.552144,95.786194
9.832515478134155,0.24157002568244934,0.37078503,96.15698
9.87376856803894,0.9104702472686768,0.7052351,96.86222
9.910274267196655,0.5237053036689758,0.5118527,97.37408
9.953035593032837,0.8451129198074341,0.6725565,98.04663
9.993501424789429,0.9002264738082886,0.7001132,98.74674
10.130927801132202,0.39745938777923584,0.4487297,99.19547
10.164188623428345,0.833383321762085,0.66669166,99.86217
10.211209297180176,0.9709697961807251,0.73548496,100.59765
10.25492262840271,0.9044512510299683,0.70222557,101.29987
10.29675555229187,0.6395651698112488,0.56978256,101.86966
10.33630657196045,0.8513374328613281,0.6756687,102.54533
10.377011775970459,0.8764963746070862,0.6882482,103.233574
10.416218996047974,0.4701820909976959,0.48509106,103.718666
10.452166318893433,0.5391438603401184,0.51957196,104.238235
10.498875141143799,0.9232233762741089,0.7116116,104.949844
10.622570753097534,0.7199850082397461,0.6099925,105.55984
10.664932012557983,0.27162086963653564,0.38581043,105.94565
10.707236051559448,0.2884219288825989,0.39421096,106.33986
10.750701427459717,0.4887892007827759,0.4943946,106.83425
10.790369272232056,0.7272416353225708,0.6136209,107.447876
10.832855224609375,0.7272062301635742,0.6136031,108.06148
10.873844861984253,0.8784396648406982,0.68921983,108.750694
10.914218425750732,0.8582674264907837,0.6791338,109.429825
10.964916944503784,0.8235930800437927,0.6617965,110.09162
11.00219988822937,0.51442551612854,0.50721276,110.59883
11.130695819854736,0.8833625316619873,0.69168127,111.29051
11.17306399345398,0.5540195107460022,0.5270098,111.81752
11.214657068252563,0.9417079091072083,0.720854,112.538376
11.259928226470947,0.6431528925895691,0.5715764,113.109955
11.297319650650024,0.43451637029647827,0.46725816,113.57721
11.343076705932617,0.5035561919212341,0.50177807,114.07899
11.379660367965698,0.9759622812271118,0.7379812,114.81697
11.419316053390503,0.6726413369178772,0.5863207,115.40329
11.456757307052612,0.3202962875366211,0.41014814,115.81344
11.496134757995605,0.7721164226531982,0.6360582,116.44949
11.62460732460022,0.7441840767860413,0.62209207,117.07159
11.660383701324463,0.2457703948020935,0.3728852,117.44447
11.69826889038086,0.854243278503418,0.67712164,118.1216
11.734567880630493,0.9077880382537842,0.703894,118.82549
11.773637294769287,0.9175682067871094,0.7087841,119.53428
11.815447092056274,0.7922438383102417,0.64612186,120.1804
11.850695610046387,0.8498725295066833,0.67493623,120.85533
11.886427402496338,0.627286434173584,0.5636432,121.418976
11.928125143051147,0.6917080879211426,0.59585404,122.01483
11.963135480880737,0.8235610127449036,0.66178054,122.67661
12.085596084594727,0.49879783391952515,0.4993989,123.17601
12.123274087905884,0.8876142501831055,0.6938071,123.86982
12.159548282623291,0.7523511648178101,0.6261755,124.495995
12.19719910621643,0.8907234072685242,0.6953617,125.19135
12.235137701034546,0.32744890451431274,0.41372445,125.60508
12.277641534805298,0.9942775368690491,0.7471388,126.35222
12.313975811004639,0.7075716257095337,0.6037859,126.956
12.35135269165039,0.9094341993331909,0.70471704,127.66072
12.38798475265503,0.5699363350868225,0.5349682,128.1957
12.424194812774658,0.9650280475616455,0.732514,128.9282
12.539655208587646,0.8844677209854126,0.6922339,129.62044
12.580316066741943,0.9191278219223022,0.70956385,130.33
12.619717359542847,0.8970376253128052,0.6985189,131.02852
12.660609722137451,0.7438352108001709,0.6219176,131.65044
12.695861101150513,0.759323000907898,0.62966144,132.28009
12.732810974121094,0.5046343803405762,0.5023172,132.78241
12.76946210861206,0.7980708479881287,0.6490354,133.43144
12.810091972351074,0.22366219758987427,0.3618311,133.79327
12.848440170288086,0.18254590034484863,0.34127295,134.13455
12.885130643844604,0.6640254259109497,0.5820127,134.71657
13.01153302192688,0.3864981234073639,0.44324908,135.15982
13.056082010269165,0.11518356204032898,0.30759177,135.4674
13.096491575241089,0.73857182264328,0.6192859,136.0867
13.1332688331604,0.6625147461891174,0.5812574,136.66795
13.168498992919922,0.4856368899345398,0.49281842,137.16077
13.206668615341187,0.31241893768310547,0.40620947,137.56697
13.244779109954834,0.12172642350196838,0.31086323,137.87784
13.28542709350586,0.18938559293746948,0.3446928,138.22253
13.32191014289856,0.6720823645591736,0.58604115,138.80858
13.36368989944458,0.7469180226325989,0.62345904,139.43204
13.480194807052612,0.2973595857620239,0.3986798,139.83072
13.52168607711792,0.7729099988937378,0.63645494,140.46718
13.560419082641602,0.5704132914543152,0.5352066,141.00238
13.598785400390625,0.22583788633346558,0.36291894,141.3653
13.640254020690918,0.5170921683311462,0.50854605,141.87384
13.676033735275269,0.9687948822975159,0.7343975,142.60823
13.713428497314453,0.4746382236480713,0.4873191,143.09555
13.760034561157227,0.6306715607643127,0.5653358,143.66089
13.797916412353516,0.17802676558494568,0.33901337,143.99991
13.835490703582764,0.774030327796936,0.6370152,144.63692
13.96120548248291,0.9009013175964355,0.70045066,145.33737
14.003112554550171,0.3396243453025818,0.41981214,145.75719
14.038547277450562,0.7571734189987183,0.62858665,146.38577
14.080003499984741,0.3696857690811157,0.43484288,146.82062
14.115795612335205,0.3604142367839813,0.4302071,147.25082
14.15363883972168,0.8288439512252808,0.6644219,147.91525
14.190688610076904,0.287130743265152,0.3935654,148.30882
14.230854988098145,0.753482460975647,0.6267413,148.93556
14.270304918289185,0.6866085529327393,0.5933043,149.52887
14.315692901611328,0.8186744451522827,0.65933716,150.1882
14.43839979171753,0.7669615149497986,0.6334807,150.82169
14.482990026473999,0.8740411400794983,0.6870206,151.50871
14.523688316345215,0.8099608421325684,0.6549804,152.1637
14.56312108039856,0.7315812706947327,0.61579067,152.77948
14.603216886520386,0.881498396396637,0.6907492,153.47023
14.642297983169556,0.8101801872253418,0.6550901,154.12532
14.681689023971558,0.7700592279434204,0.52283597,154.64816
14.722110986709595,0.8474957346916199,0.67374784,155.32191
14.759055614471436,0.20840203762054443,0.35420102,155.67612
14.797210931777954,0.8481485247612,0.67407423,156.35019
14.923270463943481,0.9079132080078125,0.7039566,157.05414
14.96371579170227,0.6157469749450684,0.5578735,157.61201
15.005510807037354,0.5549136400222778,0.5274568,158.13947
15.047545671463013,0.8866480588912964,0.69332397,158.8328
15.096638679504395,0.6543475389480591,0.57717377,159.40997
15.139687776565552,0.8883625864982605,0.69418126,160.10416
15.175662517547607,0.6293649077415466,0.5646824,160.66884
15.217063903808594,0.5398773550987244,0.51993865,161.18878
15.25329875946045,0.9815823435783386,0.74079114,161.92957
15.292454719543457,0.5406289100646973,0.52031446,162.44987
15.41392970085144,0.5803245902061462,0.54016227,162.99004
15.455175399780273,0.5037989020347595,0.5018994,163.49193
15.497417688369751,0.6877936720848083,0.5938968,164.08583
15.54301142692566,0.4324795603752136,0.46623975,164.55206
15.581926345825195,0.43860918283462524,0.46930462,165.02136
15.621450662612915,0.903579592704773,0.70178974,165.72314
15.659534215927124,0.8572945594787598,0.6786473,166.4018
15.701329231262207,0.8732560873031616,0.686628,167.08842
15.742691040039062,0.8868483304977417,0.6934241,167.78185
15.784467458724976,0.8161274194717407,0.65806377,168.43991
15.901230573654175,0.14038383960723877,0.32019192,168.7601
15.943506956100464,0.7327080368995667,0.61635405,169.37645
15.98049783706665,0.9065511226654053,0.70327556,170.07973
16.025436401367188,0.24658650159835815,0.37329325,170.45302
16.06400203704834,0.858720064163208,0.67936003,171.13239
16.10767912864685,0.4181269109249115,0.45906344,171.59145
16.154593467712402,0.8938325643539429,0.6969162,172.28836
16.19227433204651,0.2291724979877472,0.36458626,172.65295
16.237700939178467,0.7391867637634277,0.6195934,173.27255
16.27950406074524,0.13439756631851196,0.31719878,173.58975
16.397141933441162,0.6719473600387573,0.5859736,174.17572
16.443111419677734,0.8658919334411621,0.68294597,174.85867
16.48883891105652,0.9623900055885315,0.73119503,175.58987
16.52500581741333,0.6836202144622803,0.5918101,176.18169
16.565747499465942,0.5813912153244019,0.5406956,176.72238
16.604697942733765,0.3298827111721039,0.41494134,177.13733
16.63871145248413,0.28633546829223633,0.39316773,177.5305
16.688899040222168,0.442973792552948,0.47148687,178.00198
16.73008131980896,0.8845367431640625,0.6922684,178.69424
16.77378821372986,0.021285653114318848,0.26064283,178.95488
16.8991858959198,0.9322232604026794,0.7161116,179.67099
16.942540645599365,0.5409400463104248,0.52047,180.19147
16.992575883865356,0.972101092338562,0.7360505,180.92752
17.03453779220581,0.5905990600585938,0.54529953,181.47282
17.080742835998535,0.7459913492202759,0.62299573,182.09583
17.126381874084473,0.7345654368400574,0.6172827,182.7131
17.172839403152466,0.8570739030838013,0.678537,183.39165
17.21282935142517,0.4570734202861786,0.4785367,183.87018
17.26271653175354,0.6560019850730896,0.57800096,184.44818
17.309651613235474,0.891141414642334,0.6955707,185.14375
17.43347930908203,0.8969526290893555,0.6984763,185.84222
17.48460817337036,0.806352972984314,0.6531764,186.4954
17.530158281326294,0.5899478197097778,0.5449739,187.04037
17.566791772842407,0.9469667077064514,0.7234834,187.76385
17.618821620941162,0.3739590048789978,0.43697947,188.20084
17.662606477737427,0.8336507678031921,0.66682535,188.86766
17.696898937225342,0.535047173500061,0.5175236,189.38518
17.752253770828247,0.5728150010108948,0.53640753,189.92159
17.79997944831848,0.7433733344078064,0.62168664,190.54327
17.834380865097046,0.6260392665863037,0.56301963,191.1063
17.96845531463623,0.2327558696269989,0.36637792,191.47267
18.027302980422974,0.08430090546607971,0.29215047,191.76482
18.069881916046143,0.6373168230056763,0.5686584,192.33348
18.11696195602417,0.8406533598899841,0.67032665,193.00381
18.158708810806274,0.0414070188999176,0.27070352,193.27452
18.21234679222107,0.5291336178779602,0.51456684,193.7891
18.264363527297974,0.4951840341091156,0.497592,194.28668
18.30813765525818,0.17568641901016235,0.3378432,194.62453
18.3523108959198,0.6071241497993469,0.5535621,195.17809
18.396627187728882,0.8324627876281738,0.6662314,195.84431
18.516740560531616,0.5014240145683289,0.500712,196.34503
18.574721097946167,0.831326425075531,0.6656632,197.0107
18.612286806106567,0.3833312392234802,0.4416656,197.45236
18.659467220306396,0.755206823348999,0.6276034,198.07997
18.712465047836304,0.6588119268417358,0.57940596,198.65938
18.75597047805786,0.8109544515609741,0.65547717,199.31485
18.798893451690674,0.7179939150810242,0.6089969,199.92384
18.84307861328125,0.1540520191192627,0.327026,200.25087
18.892523527145386,0.5479064583778381,0.52395326,200.77483
